Date,Angel,Baker Street,Euston,Great Portland Street,Marylebone,Old Street,Paddington,Warren Street,Aldgate,Aldgate East,Bank,Bethnal Green,Liverpool Street,Monument,Moorgate,Tower Gateway,Tower Hill,Whitechapel,Barbican,Chancery Lane,Euston Square,Farringdon,Goodge Street,Holborn,Oxford Circus,Russell Square,St Pauls,Tottenham Court Road,Bayswater,Bond Street,Gloucester Road,Knightsbridge,Lancaster Gate,Marble Arch,Notting Hill Gate,Queensway,Regents Park,South Kensington,Covent Garden,Green Park,High Street Kensington,Hyde Park Corner,Leicester Square,Piccadilly Circus,Sloane Square,St James's Park,Victoria,Westminster,Blackfriars,Cannon Street,Charing Cross,Embankment,Mansion House,Pimlico,Southwark,Temple,Vauxhall,Waterloo,Canary Wharf,London Bridge,Stratford
2021-03-02,3472.266666666667,5808.433333333333,6070.866666666667,2043.0,1803.3,4983.166666666667,8824.266666666666,6238.966666666666,1940.7666666666667,2467.2,4121.166666666667,5035.6,11433.466666666667,,,,,,1910.2666666666667,2674.133333333333,3230.9333333333334,4843.033333333334,1663.7666666666667,,,,,,1009.0666666666667,7368.133333333333,2748.5,3364.4,,,,,,,870.2333333333333,6930.966666666666,,,,,,,,,2283.5333333333333,1460.3,2380.6666666666665,3149.3333333333335,1251.6,,,,,,9822.033333333333,18192.866666666665,17746.066666666666
2021-03-03,3503.733333333333,5862.4,6136.6,2065.3,1823.4,5019.766666666666,8882.966666666667,6269.4,1956.1,2490.366666666667,4149.533333333334,5069.6,11524.133333333333,,,,,,1928.6333333333334,2696.7,3250.233333333333,4881.1,1677.1666666666667,,,,,,1016.2666666666667,7436.766666666666,2784.9,3388.5333333333333,,,,,,,880.1666666666666,6999.666666666667,,,,,,,,,2305.0333333333333,1470.3,2400.4,3175.9333333333334,1260.3,,,,,,9881.633333333333,18338.366666666665,17858.266666666666
2021-03-04,3535.366666666667,5910.566666666667,6201.6,2078.233333333333,1845.0,5068.166666666667,8949.3,6297.333333333333,1971.4666666666667,2512.866666666667,4181.3,5102.466666666666,11614.333333333334,,,,,,1940.3333333333333,2714.9,3271.0,4920.066666666667,1815.5,,,,,,1020.2,7501.833333333333,2826.4666666666667,3410.8,,,,,,,889.6,7062.233333333334,,,,,,,,,2322.9666666666667,1483.9333333333334,2420.4333333333334,3199.4666666666667,1266.4666666666667,,,,,,9940.166666666666,18483.366666666665,17966.733333333334
2021-03-05,3569.866666666667,5975.4,6279.5,2098.233333333333,1857.0333333333333,5115.833333333333,9047.0,6330.8,1987.9,2537.9666666666667,4206.133333333333,5143.166666666667,11687.533333333333,,,,,,1956.3,2678.9333333333334,3647.5,4847.966666666666,1887.4333333333334,,,,,,1032.3,7557.233333333334,2872.633333333333,3436.3,,,,,,,903.7333333333333,7122.033333333334,,,,,,,,,2344.366666666667,1492.0666666666666,2442.9,3225.0666666666666,1271.7333333333333,,,,,,10004.166666666666,18664.5,18108.566666666666
2021-03-08,3619.6,6054.866666666667,6354.733333333334,2114.7,1873.2,5164.966666666666,9140.466666666667,6359.633333333333,2002.1,2555.4666666666667,4244.566666666667,5184.766666666666,11790.933333333332,,,,,,1974.3,2707.266666666667,3664.2,4910.166666666667,1898.3333333333333,,,,,,1037.6666666666667,7627.833333333333,2924.633333333333,3464.5333333333333,,,,,,,911.0333333333333,7193.933333333333,,,,,,,,,2366.6666666666665,1501.3,2463.1666666666665,3256.4333333333334,1281.2333333333333,,,,,,10085.066666666668,18803.433333333334,18270.966666666667
2021-03-09,3678.633333333333,6164.733333333334,6433.766666666666,2139.3,1890.5333333333333,5223.233333333334,9245.2,6405.066666666667,2018.6666666666667,2581.233333333333,4288.733333333334,5237.733333333334,11921.7,,,,,,1997.8333333333333,2740.6666666666665,3683.1666666666665,4964.2,1911.6,,,,,,1046.1666666666667,7713.166666666667,2984.366666666667,3498.633333333333,,,,,,,922.8,7292.266666666666,,,,,,,,,2397.366666666667,1514.7,2493.6666666666665,3304.6666666666665,1295.7333333333333,,,,,,10189.333333333334,18984.933333333334,18499.566666666666
2021-03-10,3726.1666666666665,6248.0,6512.933333333333,2164.366666666667,1918.9,5281.5,9352.0,6448.733333333334,2054.9333333333334,2716.3,4660.966666666666,5157.933333333333,11560.566666666668,,,,,,2024.4,2769.4333333333334,3697.4,5017.433333333333,1926.4,,,,,,1055.7,7789.3,3042.0333333333333,3526.4333333333334,,,,,,,931.5333333333333,7357.233333333334,,,,,,,,,2427.4333333333334,1528.9,2516.6666666666665,3330.2,1310.5333333333333,,,,,,10261.033333333333,19157.433333333334,18675.866666666665
2021-03-11,3782.6,6344.9,6593.9,2191.133333333333,1942.0666666666666,5338.266666666666,9463.866666666667,6494.033333333334,2075.233333333333,2805.366666666667,4745.133333333333,5134.066666666667,,,,,,,2051.233333333333,2799.233333333333,3712.7,5056.166666666667,1944.5,,,,,,853.1,7990.2,3156.6666666666665,3632.6,1428.1333333333334,2978.1666666666665,,,,,1188.1333333333334,7281.1,,,,,,,,,2454.6,1542.0666666666666,2534.3,3357.7,1324.2,,,,,,10347.766666666666,19345.133333333335,18870.6
2021-03-12,3844.9666666666667,6449.1,6679.566666666667,2215.733333333333,1968.1666666666667,5395.133333333333,9577.966666666667,6541.1,2093.7,2843.5,4783.433333333333,5198.7,,,,,,,2077.4666666666667,2821.3333333333335,3731.1666666666665,5079.166666666667,1957.7,,,,,,858.6,8213.233333333334,3226.4666666666667,3641.4666666666667,1423.8,2878.0,4625.466666666666,,,,1202.4333333333334,7196.6,,,,,,,,,2487.0666666666666,1556.1333333333334,2561.866666666667,3387.766666666667,1337.6333333333334,,,,,,10431.933333333332,19571.566666666666,19044.166666666668
2021-03-15,3910.5333333333333,6544.266666666666,6790.533333333334,2238.7,1989.2333333333333,5449.9,9677.6,6584.766666666666,2108.5333333333333,2872.266666666667,4813.533333333334,5250.4,,,,,,,2104.4666666666667,2828.5,3752.0666666666666,5119.333333333333,1969.9333333333334,,,,,,868.2,8273.166666666666,3292.0666666666666,3676.4333333333334,1438.0666666666666,2906.8,4675.9,,,,1214.7,7265.233333333334,,,,,,,,,2539.4,1563.9333333333334,2590.4666666666667,3420.8,1349.9666666666667,,,,,,10529.533333333333,19796.733333333334,19215.0
